title,rating
Ramayana: The Legend of Prince Rama,9.2
Spirited Away,8.6
Meiji Tokyo Renka Movie: Yumihari no Serenade,8.5
"Natsu e no tunnel, Sayonara no deguchi",8.5
Attack on Titan: Chronicle,8.5
Gintama: The Final,8.5
Grave of the Fireflies,8.5
Attack on Titan: The Roar of Awakening,8.4
Your Name.,8.4
Princess Mononoke,8.4
Fresh Precure!,8.3
Gintama the Movie: The Final Chapter - Be Forever Yorozuya,8.3
Gaiking II,8.3
Precure Allstars DX,8.3
From the Apennines to the Andes: The Movie,8.3
Conan the Future Boy: The Big Giant Robot's Resurrection,8.3
Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,8.2
Magnetic Rose,8.2
Demon Slayer the Movie: Mugen Train,8.2
Rascal Does Not Dream of a Dreaming Girl,8.2
Howl's Moving Castle,8.2
Makoto-chan,8.2
Tistou the Green Thumb,8.1
A Silent Voice: The Movie,8.1
Wolf Children,8.1
Legend of the Galactic Heroes: Die Neue These - Stellar War 3,8.1
Shoujo Kageki Revue Starlight: Rondo Rondo Rondo,8.1
Girls und Panzer Compilation Movie,8.1
Made in Abyss: Dawn of the Deep Soul,8.1
My Neighbor Totoro,8.1
Zoku Owarimonogatari,8.0
Fate/stay night [Heaven's Feel] II. lost butterfly,8.0
I Want to Eat Your Pancreas,8.0
Mobile Suit Gundam: The Origin III - Dawn of Rebellion,8.0
Black Butler: Book of Murder,8.0
Kizumonogatari Part 3: Reiketsu,8.0
Slam Dunk: Zenkoku Seiha da! Sakuragi Hanamichi,8.0
Deadstar the Movie,8.0
The Tale of The Princess Kaguya,8.0
Evangelion: 3.0+1.01 Thrice Upon a Time,8.0
Puella Magi Madoka Magica the Movie Part 2: Eternal,8.0
The Disappearance of Haruhi Suzumiya,8.0
The Quintessential Quintuplets Movie,8.0
Eiga Yurukyan,8.0
Gurren Lagann the Movie: The Lights in the Sky are Stars,8.0
Revue Starlight the Movie,8.0
The Garden of Sinners: Paradox Spiral,8.0
Neon Genesis Evangelion: The End of Evangelion,8.0
Perfect Blue,8.0
Akira,8.0
Castle in the Sky,8.0
Nausicaä of the Valley of the Wind,8.0
Barefoot Gen,8.0
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,7.9
Fate/stay night [Heaven's Feel] III. spring song,7.9
JoJo's Bizarre Adventure: Phantom Blood,7.9
Kuroko No Basket Movie 3: Winter Cup Soushuuhen - Tobira No Mukou,7.9
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,7.9
Ushiro no shoumen daare,7.9
Ghost in the Shell 2.0,7.9
Evangelion: 2.0 You Can,7.9
Whisper of the Heart,7.9
Ghost in the Shell,7.9
Legend of the Galactic Heroes: Overture to a New War,7.9
"Conan, the Boy in Future",7.8
Dragon Ball Super: Broly,7.8
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,7.8
Ajin Part 2: Shoutotsu,7.8
Boruto: Naruto The Movie,7.8
Steins;Gate: The Movie - Load Region of Déjà Vu,7.8
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,7.8
One Piece Film Z,7.8
Berserk: The Golden Age Arc III - The Advent,7.8
To the Forest of Firefly Lights,7.8
Jujutsu Kaisen 0: The Movie,7.8
Revival of Evangelion,7.8
High School Fleet the Movie,7.8
Sword of the Stranger,7.8
My Hero Academia: Heroes Rising,7.8
Shining Star: The Birth of New Luna-Queen,7.8
Made in Abyss: Wandering Twilight,7.8
Detective Conan: The Phantom of Baker Street,7.8
Inochi no chikyuu: Daiokishin no natsu,7.8
Tokyo Godfathers,7.8
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8
Cardcaptor Sakura: The Sealed Card,7.8
Millennium Actress,7.8
Cowboy Bebop: The Movie,7.8
Ninja Scroll,7.8
Kiki's Delivery Service,7.8
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,7.8
Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,7.7
Princess Principal Crown Handler: Chapter 1,7.7
Mobile Suit Gundam: The Origin V - Clash at Loum,7.7
Kuroko's Basketball: Last Game,7.7
Mobile Suit Gundam: The Origin IV - Eve of Destiny,7.7
Dou Kyu Sei: Classmates,7.7
The Shimajiro Movie: Shimajiro in Bookland,7.7
In This Corner,7.7
Asatte Dansu,7.7
